Ragione sociale;Partita IVA;Provincia;Indirizzo sede legale Regione; ultimo Bilancio Ricav delle vendite ;SISTEMA PREVALENTE
MOBILCINQUE SRL;112170527;Siena;Toscana;2777768;Sistema ARREDAMENTO
FRATELLI MAESTRI SRL;512820176;Brescia;Lombardia;2773435;Sistema ARREDAMENTO
MAXITALIA SRL;1453850396;Ravenna;Emilia-Romagna;2755952;Sistema ARREDAMENTO
ANNIBALE COLOMBO SRL;810260968;Monza e della Brianza;Lombardia;2748090;Sistema ARREDAMENTO
UNIA SRL;963060306;Udine;Friuli-Venezia Giulia;2745773;Sistema ARREDAMENTO
CAPO D OPERA SRL;2330710266;Treviso;Veneto;2730118;Sistema ARREDAMENTO
ELAM SYSTEM SRL;5773600969;Monza e della Brianza;Lombardia;2716067;Sistema ARREDAMENTO
GROSFILLEX SRL A SOCIO UNICO;469790018;Milano;Lombardia;2715927;Sistema ARREDAMENTO
MAN SRL;668050305;Udine;Friuli-Venezia Giulia;2712577;Sistema ARREDAMENTO
TERMOLETTO ITALIANA SRL;2424720288;Padova;Veneto;2711750;Sistema ARREDAMENTO
SAGOMA SRL;290190305;Udine;Friuli-Venezia Giulia;2710887;Sistema ARREDAMENTO
AREX SRL;2388660264;Treviso;Veneto;2707753;Sistema ARREDAMENTO
PRAMA SRL;1693890939;Pordenone;Friuli-Venezia Giulia;2703006;Sistema ARREDAMENTO
VOLPI FABBRICA SRL;120470505;Pisa;Toscana;2702007;Sistema ARREDAMENTO
M.E.F. SRL;2089450239;Verona;Veneto;2699875;Sistema ARREDAMENTO
OGGIONI E C. SRL;723910964;Monza e della Brianza;Lombardia;2699782;Sistema ARREDAMENTO
VALENTINI SRL;1498710282;Padova;Veneto;2676570;Sistema ARREDAMENTO
FORMER INDUSTRIA SPA;197380132;Como;Lombardia;2658914;Sistema ARREDAMENTO
FARNE  GROUP SRL;549931202;Bologna;Emilia-Romagna;2653919;Sistema ARREDAMENTO
FMF SRL;4527110268;Treviso;Veneto;2648996;Sistema ARREDAMENTO
FA.BE.MA LEGNO SRL;3077280968;Monza e della Brianza;Lombardia;2647718;Sistema ARREDAMENTO
ASSIO SRL;207180936;Pordenone;Friuli-Venezia Giulia;2646957;Sistema ARREDAMENTO
BROSS ITALIA SRL;2422890307;Udine;Friuli-Venezia Giulia;2644978;Sistema ARREDAMENTO
MA.GI.CA. SRL;1360770133;Como;Lombardia;2641346;Sistema ARREDAMENTO
C.A.S.T. SRL;2077420202;Mantova;Lombardia;2637749;Sistema ARREDAMENTO
SACEA SRL;689650158;Milano;Lombardia;2637624;Sistema ARREDAMENTO
SEDUTA D ARTE SRL;1114710773;Bari;Puglia;2632800;Sistema ARREDAMENTO
EUROARREDI VENETO SRL;4020960284;Treviso;Veneto;2630964;Sistema ARREDAMENTO
BERGIANTI E PAGLIANI SRL;3365440365;Modena;Emilia-Romagna;2625356;Sistema ARREDAMENTO
T.D. SRL;2364360418;Pesaro Urbino;Marche;2623007;Sistema ARREDAMENTO
MINACCIOLO SRL;880620265;Treviso;Veneto;2621836;Sistema ARREDAMENTO
MITTEL SRL;2386470260;Treviso;Veneto;2607993;Sistema ARREDAMENTO
ERBA SRL;259750131;Como;Lombardia;2604191;Sistema ARREDAMENTO
BIANCHI F.LLI SRL;601270135;Como;Lombardia;2600437;Sistema ARREDAMENTO
ZINGRILLO.COM SRL;5567270722;Barletta-Andria-Trani;Puglia;2597639;Sistema ARREDAMENTO
CLOU TECNOLOGIE D ARREDO SRL;2297130961;Monza e della Brianza;Lombardia;2595625;Sistema ARREDAMENTO
BOLZAN LETTI SRL;1164140939;Treviso;Veneto;2592540;Sistema ARREDAMENTO
FERRETTI E FERRETTI SRL;1186880504;Pisa;Toscana;2586206;Sistema ARREDAMENTO
ALPES INOX SRL;284810249;Vicenza;Veneto;2571366;Sistema ARREDAMENTO
ROSSIN SRL;2421720216;Bolzano/Bozen;Trentino-Alto Adige;2570244;Sistema ARREDAMENTO
MINOTTI COLLEZIONI SRL;199810136;Como;Lombardia;2565432;Sistema ARREDAMENTO
DORMIFLEX LADY LINEA SRL;3332460272;Venezia;Veneto;2556124;Sistema ARREDAMENTO
AB ITALIA SRL;2276110133;Como;Lombardia;2555855;Sistema ARREDAMENTO
BERNARDINELLO SRL;2245090234;Verona;Veneto;2555024;Sistema ARREDAMENTO
NUOVA SELAS SRL;1974760306;Udine;Friuli-Venezia Giulia;2552889;Sistema ARREDAMENTO
BODEMA SRL;3023100963;Monza e della Brianza;Lombardia;2538586;Sistema ARREDAMENTO
BRUMMEL CUCINE SRL;2644310241;Vicenza;Veneto;2533405;Sistema ARREDAMENTO
INTERNA COLLECTION SRL;2280180304;Udine;Friuli-Venezia Giulia;2527992;Sistema ARREDAMENTO
TAGLIABUE MOBILI SRL;2012400962;Monza e della Brianza;Lombardia;2520039;Sistema ARREDAMENTO
R.G.S. ARREDAMENTI SRL;3295500965;Monza e della Brianza;Lombardia;2519717;Sistema ARREDAMENTO
COLICO -SRL;828420968;Monza e della Brianza;Lombardia;2487173;Sistema ARREDAMENTO
GRIFONI VITTORIO SRL;4256730484;Firenze;Toscana;2483604;Sistema ARREDAMENTO
ALPE ARREDAMENTI SRL;1158510931;Pordenone;Friuli-Venezia Giulia;2483432;Sistema ARREDAMENTO
LINEAQUATTRO SRL;695660985;Brescia;Lombardia;2479764;Sistema ARREDAMENTO
COLOMBO MOBILI SRL;962130969;Monza e della Brianza;Lombardia;2479446;Sistema ARREDAMENTO
ALCHYMIA SRL;7113910967;Monza e della Brianza;Lombardia;2462669;Sistema ARREDAMENTO
CRASSEVIG SRL;299000307;Udine;Friuli-Venezia Giulia;2458655;Sistema ARREDAMENTO
NUOVA VITALI CUCINE SRL;1421820414;Pesaro Urbino;Marche;2430011;Sistema ARREDAMENTO
VENEZIA 14 SRL;9563030155;Milano;Lombardia;2422158;Sistema ARREDAMENTO
KEOMA ITALIA SRL;7357790729;Bari;Puglia;2420107;Sistema ARREDAMENTO
DAL SEGNO DESIGN SRL;1741560930;Pordenone;Friuli-Venezia Giulia;2416916;Sistema ARREDAMENTO
GOLRAN SRL;8844000151;Milano;Lombardia;2411514;Sistema ARREDAMENTO
BDM SAS;491000147;Sondrio;Lombardia;2411103;Sistema ARREDAMENTO
AKANTO SRL;3226720260;Treviso;Veneto;2408233;Sistema ARREDAMENTO
CAMPEGGI SRL;1215610138;Como;Lombardia;2405791;Sistema ARREDAMENTO
NUOVA C.E.V. SOC.COOP.;3694480488;Firenze;Toscana;2403630;Sistema ARREDAMENTO
PLEBANI SRL;213210164;Bergamo;Lombardia;2385938;Sistema ARREDAMENTO
LORDFLEX   S SRL;190580423;Ancona;Marche;2385880;Sistema ARREDAMENTO
AGMA ARREDO INOX;748340254;Treviso;Veneto;2382868;Sistema ARREDAMENTO
STARBOX SRL;4421730658;Salerno;Campania;2378416;Sistema ARREDAMENTO
SEDITAL SRL;475220281;Padova;Veneto;2377209;Sistema ARREDAMENTO
GIFORM SRL;1410210437;Macerata;Marche;2370081;Sistema ARREDAMENTO
ITALGLASS SRL;2326760044;Cuneo;Piemonte;2348756;Sistema ARREDAMENTO
BEGOLO SRL;182360271;Venezia;Veneto;2345839;Sistema ARREDAMENTO
MARETTO MARFLEX SRL;166980276;Venezia;Veneto;2343107;Sistema ARREDAMENTO
C.G. CAPELLETTI SRL;4921320968;Monza e della Brianza;Lombardia;2342709;Sistema ARREDAMENTO
ZANCHETTIN SRL;726550965;Monza e della Brianza;Lombardia;2329236;Sistema ARREDAMENTO
IL LOFT SPA SOCIETA;2155970128;Varese;Lombardia;2322766;Sistema ARREDAMENTO
COMIN ARREDAMENTI;72320930;Pordenone;Friuli-Venezia Giulia;2321909;Sistema ARREDAMENTO
ITALVETRINE SRL;780650966;Monza e della Brianza;Lombardia;2317953;Sistema ARREDAMENTO
SEDIT SRL;1506050937;Pordenone;Friuli-Venezia Giulia;2297890;Sistema ARREDAMENTO
CATTANEO SRL;2600470138;Como;Lombardia;2292307;Sistema ARREDAMENTO
BABY EXPERT SRL (UD);2662210307;Genova;Liguria;2289316;Sistema ARREDAMENTO
RASERA CORNICI SRL;938890258;Belluno;Veneto;2288079;Sistema ARREDAMENTO
ARREDAMENTI MORETTI SRL;194010260;Treviso;Veneto;2255352;Sistema ARREDAMENTO
MAGNABOSCO SPA;2729340238;Verona;Veneto;2253736;Sistema ARREDAMENTO
BUSATTO CLASSIC;3610350245;Vicenza;Veneto;2253369;Sistema ARREDAMENTO
ARREDAMENTI ITALIA GROUP SRL;3354000170;Brescia;Lombardia;2251683;Sistema ARREDAMENTO
F.M. BOTTEGA D ARTE SRL;1154030264;Treviso;Veneto;2247065;Sistema ARREDAMENTO
ITALIAN BUSINESS SRL;1188470411;Pesaro Urbino;Marche;2220812;Sistema ARREDAMENTO
ALTACOM SRL;3955150275;Venezia;Veneto;2210679;Sistema ARREDAMENTO
DOMIZIANI INOX;3271740544;Perugia;Umbria;2206756;Sistema ARREDAMENTO
FORESTI HOME COLLECTION;4412891006;Roma;Lazio;2205149;Sistema ARREDAMENTO
MISSAGLIA SPA;696120963;Monza e della Brianza;Lombardia;2200739;Sistema ARREDAMENTO
SOFALAND SRL;4292050723;Matera;Basilicata;2199326;Sistema ARREDAMENTO
RUSTIK SRL;2315610309;Udine;Friuli-Venezia Giulia;2178090;Sistema ARREDAMENTO
LAS SRL;1402730939;Pordenone;Friuli-Venezia Giulia;2177470;Sistema ARREDAMENTO
CILA COMMERCIO E INDUSTRIA;892310426;Ancona;Marche;2173049;Sistema ARREDAMENTO
RINALDIN SRL;2594550234;Verona;Veneto;2168475;Sistema ARREDAMENTO
GRANZO E GRANZO STUDIO SRL;3480790272;Venezia;Veneto;2164831;Sistema ARREDAMENTO
S.A.L.D.A. ARREDAMENTI SRL;2717380964;Monza e della Brianza;Lombardia;2163328;Sistema ARREDAMENTO
COMPAR SRL;2100680277;Venezia;Veneto;2160505;Sistema ARREDAMENTO
MINIMAL SRL;4061850261;Treviso;Veneto;2155253;Sistema ARREDAMENTO
FORMENTI SRL;2233970967;Monza e della Brianza;Lombardia;2151959;Sistema ARREDAMENTO
C.R.C. SRL;1877480127;Varese;Lombardia;2139677;Sistema ARREDAMENTO
HARMOGE SRL;3598940264;Treviso;Veneto;2128455;Sistema ARREDAMENTO
MARAC SRL;1246990137;Como;Lombardia;2122990;Sistema ARREDAMENTO
GIURGOLA SRL;3145400754;Lecce;Puglia;2120655;Sistema ARREDAMENTO
IDORMIBENE S.R.L;1642570517;Arezzo;Toscana;2104781;Sistema ARREDAMENTO
BOLOGNI ARREDA GEST IBO 2;3185740481;Firenze;Toscana;2102831;Sistema ARREDAMENTO
OLIVO SRL;448760306;Udine;Friuli-Venezia Giulia;2101778;Sistema ARREDAMENTO
MECFLEX SRL;150210755;Lecce;Puglia;2096267;Sistema ARREDAMENTO
DFN SRL;2510980416;Pesaro Urbino;Marche;2091406;Sistema ARREDAMENTO
TISCA ITALIA SRL;421940164;Bergamo;Lombardia;2087790;Sistema ARREDAMENTO
ILME-INDUSTRIA;1170600504;Pisa;Toscana;2084521;Sistema ARREDAMENTO
BIEFBI SRL;165090416;Pesaro Urbino;Marche;2082634;Sistema ARREDAMENTO
COMPAGNIA ITALIANA CRISTALLO;285430526;Siena;Toscana;2081987;Sistema ARREDAMENTO
VETRERIE DI EMPOLI SRL;756000154;Milano;Lombardia;2073594;Sistema ARREDAMENTO
LA PERLA SRL;3799690270;Venezia;Veneto;2072404;Sistema ARREDAMENTO
ALBERTO E MARIO GHEZZANI SRL;102330503;Pisa;Toscana;2071686;Sistema ARREDAMENTO
SAN MARCO SRL;896170966;Monza e della Brianza;Lombardia;2063221;Sistema ARREDAMENTO
GAMMA BED SRL;1518050982;Brescia;Lombardia;2062924;Sistema ARREDAMENTO
FORMER IN ITALIA SRL;2356950416;Pesaro Urbino;Marche;2061276;Sistema ARREDAMENTO
DFORM SRL;1581550934;Pordenone;Friuli-Venezia Giulia;2051043;Sistema ARREDAMENTO
ASSO CUCINE SRL;694960527;Siena;Toscana;2050579;Sistema ARREDAMENTO
TAFARUCI DESIGN SRL;1593740937;Udine;Friuli-Venezia Giulia;2047775;Sistema ARREDAMENTO
ANGELO SRL;2462350261;Treviso;Veneto;2043203;Sistema ARREDAMENTO
CAPORALI CONTRACT SRL;1828550549;Perugia;Umbria;2041300;Sistema ARREDAMENTO
STELLA DEL MOBILE SRL;2877510236;Verona;Veneto;2039626;Sistema ARREDAMENTO
NEFI ITALIA SRL;2221020486;Firenze;Toscana;2037588;Sistema ARREDAMENTO
EUSEBI ARREDAMENTI SRL;1213760448;Ascoli Piceno;Marche;2033372;Sistema ARREDAMENTO
VENERAN MOBILI SRL;174050260;Treviso;Veneto;2025298;Sistema ARREDAMENTO
GREEN SRL (PI);1314820505;Pisa;Toscana;2020588;Sistema ARREDAMENTO
SCIC SRL;742430341;Parma;Emilia-Romagna;2020172;Sistema ARREDAMENTO
FRATELLI PASCALE SRL;1165160779;Matera;Basilicata;2008779;Sistema ARREDAMENTO
DOM SRL;3349060404;Forlì-Cesena;Emilia-Romagna;2008509;Sistema ARREDAMENTO
NADEM SRL;3518400878;Catania;Sicilia;2007692;Sistema ARREDAMENTO
FARMOBILI SRL;694490525;Siena;Toscana;2007352;Sistema ARREDAMENTO
MOBILIFICIO BORDIGNON SRL;2220660241;Vicenza;Veneto;2007348;Sistema ARREDAMENTO
ARTE DI MURANO S.R.L;2705030613;Venezia;Veneto;2005412;Sistema ARREDAMENTO
MASCHERONI SRL;2634890137;Como;Lombardia;2001094;Sistema ARREDAMENTO
FRANCO CAREMI SRL;845030964;Monza e della Brianza;Lombardia;1998122;Sistema ARREDAMENTO
BERTOLI VALENTINO SRL;213590169;Bergamo;Lombardia;1997774;Sistema ARREDAMENTO
MELODY SRL;1908860263;Treviso;Veneto;1996941;Sistema ARREDAMENTO
S.M. SRL;3819460266;Treviso;Veneto;1991257;Sistema ARREDAMENTO
PZ RESINE SRL;2007190305;Udine;Friuli-Venezia Giulia;1985319;Sistema ARREDAMENTO
CAPPELLETTI SRL;195750138;Como;Lombardia;1982509;Sistema ARREDAMENTO
SAWAYA E MORONI SPA;4855870152;Milano;Lombardia;1978577;Sistema ARREDAMENTO
LINEARETE SRL;4186780260;Treviso;Veneto;1977321;Sistema ARREDAMENTO
PRODUCTION FURNITURE;8743760012;Torino;Piemonte;1976263;Sistema ARREDAMENTO
BINDI CUCINE SRL;145900510;Arezzo;Toscana;1963908;Sistema ARREDAMENTO
GOLD CONFORT SRL;1404170472;Pistoia;Toscana;1952084;Sistema ARREDAMENTO
SEMART SRL;264790528;Siena;Toscana;1946175;Sistema ARREDAMENTO
ARTEDESIGN DIVANI E POLTRONE;6381500724;Bari;Puglia;1940825;Sistema ARREDAMENTO
BENEDETTI MOBILI SRL;6518290488;Firenze;Toscana;1938292;Sistema ARREDAMENTO
NOTO SRL;6490180152;Milano;Lombardia;1931868;Sistema ARREDAMENTO
RIVALTA SRL;3290450273;Venezia;Veneto;1923198;Sistema ARREDAMENTO
F.LLI ORSENIGO SRL;197430135;Como;Lombardia;1916861;Sistema ARREDAMENTO
A. E L. 27 SRL;3483530162;Bergamo;Lombardia;1914362;Sistema ARREDAMENTO
DUCCIO DI SEGNA SRL;360120521;Siena;Toscana;1901089;Sistema ARREDAMENTO
LISART SRL;967410960;Monza e della Brianza;Lombardia;1892723;Sistema ARREDAMENTO
PRESCO POOL SRL;551680390;Forlì-Cesena;Emilia-Romagna;1892412;Sistema ARREDAMENTO
MORI ITALIAN FACTORY SRL;580470987;Brescia;Lombardia;1891011;Sistema ARREDAMENTO
B.LAB ITALIA SRL;2077150023;Varese;Lombardia;1883622;Sistema ARREDAMENTO
ROSSANA RB SRL;1190770410;Pesaro Urbino;Marche;1880724;Sistema ARREDAMENTO
A.R. ARREDAMENTI SRL;1864540503;Pisa;Toscana;1879982;Sistema ARREDAMENTO
ARMETALFLEX SRL;3661550404;Forlì-Cesena;Emilia-Romagna;1858489;Sistema ARREDAMENTO
CASTAGNA CUCINE SRL;1642740243;Vicenza;Veneto;1847663;Sistema ARREDAMENTO
MORELATO SRL;2491870230;Verona;Veneto;1845603;Sistema ARREDAMENTO
BELLONI SRL;848850962;Monza e della Brianza;Lombardia;1842380;Sistema ARREDAMENTO
L.P.M. SRL;4035600487;Firenze;Toscana;1836864;Sistema ARREDAMENTO
PINETTI SRL;2726320167;Bergamo;Lombardia;1836643;Sistema ARREDAMENTO
KRIPTONITE ITALIA SRL;8359300152;Milano;Lombardia;1834453;Sistema ARREDAMENTO
MOBILIFICIO MARCHETTI SRL;1274030244;Padova;Veneto;1833727;Sistema ARREDAMENTO
DI DONATO CUCINE SRL;1599180690;Chieti;Abruzzo;1833523;Sistema ARREDAMENTO
RONCATO SRL;897530275;Venezia;Veneto;1825163;Sistema ARREDAMENTO
MORELLO GIANLUCA SRL;1797560289;Padova;Veneto;1823971;Sistema ARREDAMENTO
IMM ITALIA MOBILI;1986130308;Udine;Friuli-Venezia Giulia;1812914;Sistema ARREDAMENTO
AGENA SRL;485280010;Torino;Piemonte;1810396;Sistema ARREDAMENTO
PROSPETTIVE SRL;997800529;Firenze;Toscana;1806976;Sistema ARREDAMENTO
QUARRATA S.C.R.L.;1190900470;Pistoia;Toscana;1804613;Sistema ARREDAMENTO
I BEDDING SRL;2577360304;Udine;Friuli-Venezia Giulia;1800140;Sistema ARREDAMENTO
WILFORD 4C SRL;1828490241;Vicenza;Veneto;1798486;Sistema ARREDAMENTO
PETRUZZI 2 SRL;2181220308;Udine;Friuli-Venezia Giulia;1792450;Sistema ARREDAMENTO
DONA  SALOTTI SRL;3196650240;Vicenza;Veneto;1790981;Sistema ARREDAMENTO
TURATI E C. SRL;1735530139;Como;Lombardia;1789746;Sistema ARREDAMENTO
VENTURI ARTE SRL;564981207;Bologna;Emilia-Romagna;1789717;Sistema ARREDAMENTO
ERBA ITALIA SRL;5650870966;Monza e della Brianza;Lombardia;1787141;Sistema ARREDAMENTO
ALTAMODA ITALIA SRL;1807960503;Pisa;Toscana;1785214;Sistema ARREDAMENTO
MOBILSEDIA 2000 SRL;3037850231;Verona;Veneto;1784915;Sistema ARREDAMENTO
DL DECOR SRL;2649470131;Como;Lombardia;1783280;Sistema ARREDAMENTO
BOISERIE ITALIA SRL;2613260138;Como;Lombardia;1769303;Sistema ARREDAMENTO
RESPACE SRL;4611240963;Monza e della Brianza;Lombardia;1768325;Sistema ARREDAMENTO
EUROSALOTTO PEDRINA;2192850283;Padova;Veneto;1754015;Sistema ARREDAMENTO
BELLANI S.R.L;1835120237;Verona;Veneto;1751320;Sistema ARREDAMENTO
ZILCO DUE SRL;1866890302;Udine;Friuli-Venezia Giulia;1749095;Sistema ARREDAMENTO
SAN. COR. SRL;383290525;Siena;Toscana;1746787;Sistema ARREDAMENTO
BOSA DI ITALO BOSA SRL;3935610265;Treviso;Veneto;1739953;Sistema ARREDAMENTO
MAR MOBILI SRL;707740676;Teramo;Abruzzo;1736185;Sistema ARREDAMENTO
FIMAR SRL;2119010136;Como;Lombardia;1735517;Sistema ARREDAMENTO
C.N. ARREDAMENTO DESIGN SRL;795750967;Como;Lombardia;1733697;Sistema ARREDAMENTO
EUROBI SRL;4316740481;Firenze;Toscana;1732205;Sistema ARREDAMENTO
VALDERA EXPORT SRL;1705780508;Pisa;Toscana;1726700;Sistema ARREDAMENTO
MACULAN FRATELLI SRL;224360248;Vicenza;Veneto;1717846;Sistema ARREDAMENTO
PORTE ITALIA INTERIORS SRL;547570317;Gorizia;Friuli-Venezia Giulia;1717219;Sistema ARREDAMENTO
SALA LUIGI DI PIETRO SRL;694670969;Monza e della Brianza;Lombardia;1711938;Sistema ARREDAMENTO
GENERALI ARREDAMENTI SRL;1232950475;Pistoia;Toscana;1710639;Sistema ARREDAMENTO
FRIGERIO CARLO SRL;3181100136;Como;Lombardia;1697426;Sistema ARREDAMENTO
BELCOR INTERIORS SRL;6024630961;Monza e della Brianza;Lombardia;1692518;Sistema ARREDAMENTO
NATALE AROSIO SRL;2537020964;Monza e della Brianza;Lombardia;1689061;Sistema ARREDAMENTO
BUIANI SRL;1476300304;Udine;Friuli-Venezia Giulia;1688526;Sistema ARREDAMENTO
HALLEY SRL;3128120262;Treviso;Veneto;1671216;Sistema ARREDAMENTO
EUROPAN SRL;1343200307;Udine;Friuli-Venezia Giulia;1660451;Sistema ARREDAMENTO
MORE SRL;1727470930;Pordenone;Friuli-Venezia Giulia;1658151;Sistema ARREDAMENTO
TOSATO SRL;3776400230;Verona;Veneto;1652498;Sistema ARREDAMENTO
F.LLI PIERMARIA SRL;863320412;Pesaro Urbino;Marche;1648843;Sistema ARREDAMENTO
DEVOTO SRL;1458800594;Latina;Lazio;1644052;Sistema ARREDAMENTO
ZETADESIGN SRL;3563880982;Brescia;Lombardia;1638522;Sistema ARREDAMENTO
STAINO E STAINO SRL;1818710970;Prato;Toscana;1636967;Sistema ARREDAMENTO
PERDONCIN SRL;3668070240;Vicenza;Veneto;1632033;Sistema ARREDAMENTO
BRUNATI SRL;2740240961;Monza e della Brianza;Lombardia;1624590;Sistema ARREDAMENTO
VALDERAMOBILI SRL;1142200508;Pisa;Toscana;1620163;Sistema ARREDAMENTO
SEDEX SRL;781540521;Siena;Toscana;1614941;Sistema ARREDAMENTO
FELMAR SRL ;301450367;Modena;Emilia-Romagna;1612776;Sistema ARREDAMENTO
BARNINI OSEO SRL;970620506;Pisa;Toscana;1612768;Sistema ARREDAMENTO
L ORIGINE HOME ELEGANS SRL;3795750243;Vicenza;Veneto;1612588;Sistema ARREDAMENTO
MOBIL CASA ARREDAMENTI SRL;4370650964;Salerno;Campania;1611039;Sistema ARREDAMENTO
ACCENTO SRL;2196190306;Udine;Friuli-Venezia Giulia;1609268;Sistema ARREDAMENTO
DUE ZETA SRL;2688260278;Venezia;Veneto;1603135;Sistema ARREDAMENTO
TRE C TAVOLI SRL;3203640267;Treviso;Veneto;1601483;Sistema ARREDAMENTO
STYLE ARREDAMENTI SRL;4180050280;Padova;Veneto;1601459;Sistema ARREDAMENTO
ULIVI SALOTTI SRL;1683670507;Pisa;Toscana;1598344;Sistema ARREDAMENTO
HAPPYFLEX SRL;1092430436;Macerata;Marche;1594279;Sistema ARREDAMENTO
MASEC CUCINE SRL;5277740485;Firenze;Toscana;1580442;Sistema ARREDAMENTO
ARREDAMENTI S MARCO SRL;76550524;Siena;Toscana;1576704;Sistema ARREDAMENTO
GIOVENALI SRL;248750432;Macerata;Marche;1576213;Sistema ARREDAMENTO
LUIGI SARTORI SRL;42050294;Rovigo;Veneto;1573295;Sistema ARREDAMENTO
MANTELLASSI 1926 SRL;5737630482;Pistoia;Toscana;1570178;Sistema ARREDAMENTO
JUMBO SOFA  SRL;3371170139;Como;Lombardia;1567595;Sistema ARREDAMENTO
ARREDAMENTI G.D. SRL;1742760513;Arezzo;Toscana;1558287;Sistema ARREDAMENTO
AVATAR ITALIA SRL SOCIETA ;6208320488;Siena;Toscana;1552827;Sistema ARREDAMENTO
MIX UFFICIO SRL;547220285;Padova;Veneto;1551078;Sistema ARREDAMENTO
ALMAS SRL;2227370240;Vicenza;Veneto;1543815;Sistema ARREDAMENTO
TONCELLI CUCINE SRL;123750507;Pisa;Toscana;1541031;Sistema ARREDAMENTO
TORE SRL;3292500273;Udine;Friuli-Venezia Giulia;1536728;Sistema ARREDAMENTO
SOMEI SRL;2756540965;Monza e della Brianza;Lombardia;1536070;Sistema ARREDAMENTO
MODACOLLECTION SRL;8388260963;Monza e della Brianza;Lombardia;1527617;Sistema ARREDAMENTO
MARZORATI CENTRO CAMERETTA;311770135;Como;Lombardia;1523436;Sistema ARREDAMENTO
PENTA LEGNO SRL;590160305;Udine;Friuli-Venezia Giulia;1521333;Sistema ARREDAMENTO
FANFANI ANDREA SRL;4978840488;Firenze;Toscana;1510848;Sistema ARREDAMENTO
COMPOSITA SRL;1970530174;Brescia;Lombardia;1502215;Sistema ARREDAMENTO
L ARTE DI NACCHI SRL;1596000487;Arezzo;Toscana;1500322;Sistema ARREDAMENTO
OLD LINE ARREDAMENTI SRL;539420265;Treviso;Veneto;1498601;Sistema ARREDAMENTO
MAXDESIGN ITALIA SRL;4550300265;Treviso;Veneto;1493406;Sistema ARREDAMENTO
FRANCESCO PASI SRL;2749190233;Verona;Veneto;1491862;Sistema ARREDAMENTO
INTERIOR BELTRAMINI SRL;1566130306;Udine;Friuli-Venezia Giulia;1482949;Sistema ARREDAMENTO
TOP LINE SRL;1449270303;Udine;Friuli-Venezia Giulia;1481524;Sistema ARREDAMENTO
CRE-ART SRL;3443090489;Firenze;Toscana;1457141;Sistema ARREDAMENTO
PACINI E CAPPELLINI SRL;1310530132;Como;Lombardia;1456918;Sistema ARREDAMENTO
LM INDUSTRIA CORNICI SRL;1122220385;Ferrara;Emilia-Romagna;1450977;Sistema ARREDAMENTO
ANTIDIVA SRL;2339550960;Monza e della Brianza;Lombardia;1441404;Sistema ARREDAMENTO
DEL CURTO SRL;805490141;Sondrio;Lombardia;1436337;Sistema ARREDAMENTO
AFRICA STYLE SRL;3125970248;Vicenza;Veneto;1433091;Sistema ARREDAMENTO
CARRARO SRL;359970282;Padova;Veneto;1424238;Sistema ARREDAMENTO
ARCAHORN SRL;126560432;Macerata;Marche;1424030;Sistema ARREDAMENTO
IMPERIAL LINE SRL;3450130277;Venezia;Veneto;1421190;Sistema ARREDAMENTO
MARIO CIONI E C. SRL;3673960484;Firenze;Toscana;1416462;Sistema ARREDAMENTO
GUFRAM SRL;5982260019;Cuneo;Piemonte;1412992;Sistema ARREDAMENTO
G.T. DESIGN SRL;3133960371;Bologna;Emilia-Romagna;1401000;Sistema ARREDAMENTO
MOBILIFICIO F.LLI CENEDESE;315600262;Treviso;Veneto;1397701;Sistema ARREDAMENTO
NANNIFLEX SRL;1849700594;Latina;Lazio;1385939;Sistema ARREDAMENTO
LIVONI EDOARDO E FIGLIO SRL;150870301;Udine;Friuli-Venezia Giulia;1380379;Sistema ARREDAMENTO
ATI SRL;6928870960;Sondrio;Lombardia;1361830;Sistema ARREDAMENTO
S.C.A.A.T. SRL;1789070289;Padova;Veneto;1361657;Sistema ARREDAMENTO
SASA EXPORT SRL;456730316;Udine;Friuli-Venezia Giulia;1360592;Sistema ARREDAMENTO
VENETA SEDIE TRADING SRL;3200410284;Padova;Veneto;1357505;Sistema ARREDAMENTO
FABBRICA ITALIANA MOBILI;182810044;Cuneo;Piemonte;1349479;Sistema ARREDAMENTO
KLAB DESIGN SRL;3151430133;Como;Lombardia;1346348;Sistema ARREDAMENTO
DIAMANTINI E DOMENICONI SRL;2146480419;Pesaro Urbino;Marche;1343905;Sistema ARREDAMENTO
CECOTTI FRANCO E C.-SRL;496900309;Udine;Friuli-Venezia Giulia;1342774;Sistema ARREDAMENTO
ANTONELLI MORAVIO E C. SRL;675450506;Pisa;Toscana;1334504;Sistema ARREDAMENTO
JESURUM SRL;1563650934;Pordenone;Friuli-Venezia Giulia;1328675;Sistema ARREDAMENTO
MANIFATTURA ARIETE SRL;224110163;Bergamo;Lombardia;1327630;Sistema ARREDAMENTO
SAME DECORAZIONE SRL;5397510487;Firenze;Toscana;1325722;Sistema ARREDAMENTO
ZAPPALORTO SRL;1647350519;Arezzo;Toscana;1324480;Sistema ARREDAMENTO
ARCARI ARREDAMENTI SRL;1015460197;Cremona;Lombardia;1318291;Sistema ARREDAMENTO
EMMEBI INDUSTRIA MOBILI SRL;2886670963;Monza e della Brianza;Lombardia;1316191;Sistema ARREDAMENTO
ACERBIS INTERNATIONAL SRL;487780165;Bergamo;Lombardia;1315394;Sistema ARREDAMENTO
